feature,coef
num__visitor_away_streak,-1.1518288601775397
cat__home_last_10_2-1,-1.1041787060866235
num__visitor_offensive_rating,-0.8865603784814233
num__net_rating_diff,0.8797482265626405
num__estimated_point_diff,0.8797482265626116
num__visitor_defensive_rating,0.8791143206744072
num__visitor_estimated_points,-0.8666109317171998
cat__visitor_last_10_4-5,0.864436488561611
cat__visitor_last_10_0-2,-0.8521260364838763
cat__home_last_10_2-2,-0.812110633112822
num__home_estimated_points,0.7811659226655048
cat__home_last_10_8-1,-0.756241019920275
cat__home_last_10_0-1,0.7492049835408071
cat__visitor_last_10_1-7,-0.7355788378439844
num__offensive_rating_diff,0.728580750703101
num__defensive_rating_diff,0.6728947536407042
num__home_defensive_rating,-0.6514131775604602
cat__visitor_last_10_1-1,0.6426506025354976
cat__visitor_last_10_4-0,0.6421499408903418
cat__home_last_10_4-3,0.641842908398815
cat__visitor_last_10_3-2,0.632249152364402
cat__visitor_last_10_3-5,0.6318119986342158
cat__visitor_last_10_6-1,-0.6308107062877589
cat__home_last_10_2-5,0.6276625862524537
cat__home_last_10_0-2,0.602007862715464
cat__home_last_10_1-4,-0.5976551610620745
num__visitor_wins_percent,0.5955663156062171
cat__visitor_last_10_2-0,0.5926992617159428
cat__home_last_10_4-2,-0.5924821869540874
cat__home_quality_Muy Débil,-0.5912740386356696
num__home_offensive_rating,0.5600480979732624
cat__home_last_10_0-10,0.5304199332987041
num__wins_percent_diff,-0.5140023394575773
cat__visitor_last_10_1-5,-0.5030671692500464
cat__home_last_10_1-9,-0.49882695689170575
cat__visitor_last_10_4-3,-0.4987614357094657
cat__home_last_10_4-6,-0.497214952321401
cat__visitor_last_10_2-4,-0.4952482576829731
cat__home_last_10_5-5,-0.49155494874577055
cat__visitor_last_10_1-2,-0.4847055262414876
cat__home_last_10_3-6,0.475582609031825
cat__visitor_last_10_0-1,-0.45810046989325726
cat__home_last_10_1-5,0.4550048361105973
cat__visitor_last_10_0-4,-0.4547062646753996
cat__home_last_10_3-2,-0.4349283791539754
cat__visitor_last_10_2-2,-0.4053202745413045
cat__home_last_10_5-4,0.40192916370861587
cat__home_last_10_5-3,-0.4016778218979209
num__visitor_streak_extreme,-0.39913110230935234
num__home_streak,0.39862257825859215
cat__visitor_last_10_4-1,-0.39189747307759215
cat__home_last_10_2-0,0.38748315652573034
cat__home_last_10_3-7,-0.3720563597847046
cat__home_last_10_2-4,0.37203490453717
cat__home_last_10_6-3,0.3603105335218924
cat__visitor_last_10_4-2,0.3599584044967661
cat__home_last_10_2-7,-0.35606478974918077
cat__visitor_last_10_2-6,0.35118203905459316
cat__visitor_last_10_7-2,-0.3503505000043227
cat__visitor_last_10_7-0,0.34926302737967463
cat__home_last_10_0-0,-0.34303033999607746
cat__visitor_last_10_3-4,0.3365098881169533
cat__visitor_last_10_5-0,-0.31230556316877617
cat__visitor_last_10_5-1,-0.31104966535539563
cat__home_last_10_1-7,0.3054431652421063
cat__visitor_last_10_3-3,0.30520463554887106
cat__visitor_last_10_2-3,0.3035704111811041
cat__home_last_10_3-0,0.2990238889033611
cat__visitor_last_10_7-3,-0.2973529196533175
cat__visitor_last_10_0-10,-0.2853927760494152
cat__visitor_quality_Muy Fuerte,-0.2798493913825067
cat__visitor_last_10_8-0,-0.27959215378886737
cat__home_last_10_9-1,0.2792263867267766
cat__home_last_10_8-2,0.27359770079016466
cat__visitor_last_10_0-3,0.270602778797909
num__home_home_streak,-0.26921016648387
cat__visitor_last_10_2-7,0.2648990558327933
cat__home_last_10_2-8,0.2646385207690652
cat__home_last_10_3-1,-0.25680755743377937
cat__home_last_10_6-4,-0.25512975323952436
cat__visitor_quality_Promedio,-0.25389397913061973
cat__visitor_last_10_5-3,0.25109356141974376
num__visitor_home_streak,-0.24852388876345557
num__home_wins_percent,0.24546319161631594
cat__home_last_10_4-5,-0.24362441509626048
cat__home_last_10_6-1,0.242209798080855
num__home_much_better,0.2403200715202821
cat__visitor_last_10_1-3,-0.23586271360357883
cat__visitor_last_10_1-6,0.23324894768415919
cat__home_last_10_1-6,0.23324894768415919
num__streak_extreme_diff,-0.23258222426067038
cat__home_quality_Muy Fuerte,-0.22963939920960347
cat__home_last_10_3-3,-0.22911643359558045
cat__home_last_10_1-0,-0.22407881685199602
cat__visitor_last_10_2-5,0.20044222430078296
cat__home_last_10_7-0,0.19135646708671022
num__visitor_game_number,-0.19006635081884674
cat__visitor_last_10_4-4,0.18715324812072315
num__home_streak_extreme,-0.18639399590543662
cat__home_last_10_1-3,0.1677925670644776
cat__visitor_last_10_3-1,0.16498753321893492
cat__home_last_10_1-1,-0.16462481566942724
cat__visitor_last_10_4-6,-0.15777416365010663
cat__visitor_last_10_1-4,0.15406034422601791
cat__home_last_10_5-1,0.15406034422601791
cat__home_last_10_0-3,-0.15262386674533887
cat__home_last_10_3-5,0.13879397986327802
num__visitor_much_better,-0.13258668866381496
cat__visitor_quality_Fuerte,-0.12895420513529154
num__visitor_streak,0.12721933597560978
cat__visitor_last_10_8-2,-0.12001475843219966
cat__visitor_last_10_0-5,0.11846726055286802
cat__home_last_10_1-2,-0.1166978562432171
cat__home_last_10_7-3,-0.11667137518915191
num__streak_diff,-0.11575385388985913
cat__visitor_last_10_6-4,-0.11285441183722313
cat__visitor_last_10_3-7,-0.1110278068256843
cat__home_last_10_6-0,0.1105422035616375
cat__visitor_last_10_3-6,-0.1040277657555412
cat__home_last_10_5-0,0.10318402958597912
cat__home_last_10_7-1,-0.09679849651454367
cat__home_quality_Fuerte,0.09623678084869254
cat__visitor_quality_Débil,-0.08508949529019365
cat__home_quality_Débil,0.07906644532215909
cat__home_last_10_3-4,0.07511009015296112
cat__visitor_last_10_1-0,0.07404805312871171
cat__visitor_last_10_10-0,-0.07255205840114644
num__home_game_number,0.0715834474846263
cat__visitor_quality_Muy Débil,0.06988551601329857
num__home_away_streak,-0.05403976096769406
cat__visitor_last_10_9-1,0.050802579946715866
cat__visitor_last_10_1-9,0.04617737396562444
cat__visitor_last_10_5-4,-0.04557998639405992
num__teams_evenly_matched,0.04221979754959226
cat__visitor_last_10_0-0,0.03327553349158251
cat__home_quality_Promedio,-0.03229134325089042
cat__home_last_10_2-3,-0.027465688150472567
cat__visitor_last_10_2-1,-0.022252913462017236
cat__home_last_10_10-0,0.02204820810101144
cat__visitor_last_10_5-5,-0.014270875232872751
cat__visitor_last_10_2-8,0.0037375832098505936
